group_id,pre_ai_exposure,pre_high_ai_share,pre_weighted_n,age_group,gender,education,income_group,parent_status,pre_ai_exposure_z,exposure_bin
25_34|women|hs|500_999_week|parent,0.07339253237455597,0.03652597475715347,1357301398.191398,25_34,women,hs,500_999_week,parent,0.0851820192216402,Q3
25_34|women|some_college|no_valid_earnings|parent,0.08612037457923535,0.055720113171778676,1928850084.4625912,25_34,women,some_college,no_valid_earnings,parent,0.7562940096481963,Q4_high
15_24|men|lt_hs|no_valid_earnings|parent,0.14260449355803442,0.1798609028997563,8632973128.165024,15_24,men,lt_hs,no_valid_earnings,parent,3.7345812091403214,Q4_high
45_54|men|hs|500_999_week|nonparent,0.06252110547506383,0.01720820937229723,1858356504.199632,45_54,men,hs,500_999_week,nonparent,-0.488045149057726,Q2
65_plus|men|ba_plus|500_999_week|nonparent,0.07077079084271358,0.031630671328975395,433027628.195306,65_plus,men,ba_plus,500_999_week,nonparent,-0.05305682358643914,Q3
55_64|men|lt_hs|no_valid_earnings|nonparent,0.06190627592251215,0.018562085856604696,1325133792.504645,55_64,men,lt_hs,no_valid_earnings,nonparent,-0.5204638008724326,Q2
35_44|men|hs|1000_1499_week|parent,0.06173856401595511,0.015766429141157494,1133391844.190791,35_44,men,hs,1000_1499_week,parent,-0.5293068922321248,Q2
45_54|women|ba_plus|500_999_week|parent,0.07448624443361246,0.03539452954543048,1013632923.073373,45_54,women,ba_plus,500_999_week,parent,0.1428511248801841,Q3
55_64|men|some_college|1500plus_week|nonparent,0.06338325428674851,0.01814214339028969,1129984885.504492,55_64,men,some_college,1500plus_week,nonparent,-0.4425858798627577,Q2
65_plus|women|ba_plus|no_valid_earnings|nonparent,0.08484894881284029,0.05111522174307359,9699164314.824497,65_plus,women,ba_plus,no_valid_earnings,nonparent,0.6892544389932979,Q4_high
35_44|women|some_college|1500plus_week|nonparent,0.05930539450315317,0.015053759567135788,71272201.553037,35_44,women,some_college,1500plus_week,nonparent,-0.657602734411986,Q1_low
15_24|women|lt_hs|no_valid_earnings|parent,0.1438006669968175,0.17601563773379017,8839788917.792921,15_24,women,lt_hs,no_valid_earnings,parent,3.797652884958392,Q4_high
65_plus|men|ba_plus|no_valid_earnings|nonparent,0.0825307920503858,0.04941647731199772,9548137582.863659,65_plus,men,ba_plus,no_valid_earnings,nonparent,0.5670229739929189,Q4_high
55_64|men|ba_plus|lt_500_week|parent,0.06735600653904068,0.022889428409837088,59549890.513849,55_64,men,ba_plus,lt_500_week,parent,-0.23311112140549403,Q3
45_54|women|hs|500_999_week|nonparent,0.0690114142438293,0.022190293394836823,1637641369.241925,45_54,women,hs,500_999_week,nonparent,-0.14582500158545902,Q3
55_64|women|ba_plus|lt_500_week|nonparent,0.07346614453633646,0.031775854203311936,1114689613.0456922,55_64,women,ba_plus,lt_500_week,nonparent,0.0890634316101396,Q3
15_24|women|hs|no_valid_earnings|nonparent,0.09373611219822202,0.06635839364185551,1076051528.3610048,15_24,women,hs,no_valid_earnings,nonparent,1.1578556215737024,Q4_high
45_54|men|ba_plus|1500plus_week|parent,0.06541345451703226,0.021982558754104837,3632998666.536497,45_54,men,ba_plus,1500plus_week,parent,-0.3355377490327528,Q2
45_54|men|hs|500_999_week|parent,0.06247971651938031,0.01316518508104564,819053146.988333,45_54,men,hs,500_999_week,parent,-0.49022750047156055,Q2
45_54|women|ba_plus|lt_500_week|parent,0.07774742260741674,0.04104101495927018,737438915.8095299,45_54,women,ba_plus,lt_500_week,parent,0.31480609887827365,Q4_high
55_64|men|some_college|no_valid_earnings|nonparent,0.07190688954915864,0.03290800459500835,2713141334.850647,55_64,men,some_college,no_valid_earnings,nonparent,0.006847239642995274,Q3
45_54|women|some_college|no_valid_earnings|nonparent,0.0811210131495968,0.046235614911701965,1240567752.760553,45_54,women,some_college,no_valid_earnings,nonparent,0.49268833745711815,Q4_high
65_plus|women|hs|no_valid_earnings|nonparent,0.07436241939809757,0.03501113529298381,13601222787.26176,65_plus,women,hs,no_valid_earnings,nonparent,0.13632209468695264,Q3
35_44|women|ba_plus|500_999_week|parent,0.06930715485370016,0.026925583417774256,1926396383.680934,35_44,women,ba_plus,500_999_week,parent,-0.13023122958949335,Q3
55_64|women|some_college|no_valid_earnings|nonparent,0.08013375497238827,0.04441838229519173,3483742260.84418,55_64,women,some_college,no_valid_earnings,nonparent,0.44063231808505837,Q4_high
45_54|women|some_college|1000_1499_week|nonparent,0.06282901064741829,0.01299939221728184,736580876.438667,45_54,women,some_college,1000_1499_week,nonparent,-0.4718099656104121,Q2
25_34|women|ba_plus|no_valid_earnings|parent,0.07823575716634919,0.04035718956728171,1563768707.008441,25_34,women,ba_plus,no_valid_earnings,parent,0.340554939299845,Q4_high
55_64|men|hs|no_valid_earnings|nonparent,0.06743342400639951,0.02491249918414962,3857622782.028439,55_64,men,hs,no_valid_earnings,nonparent,-0.22902906336474738,Q3
15_24|women|ba_plus|lt_500_week|nonparent,0.10862717976064407,0.10242187513102397,609973179.417295,15_24,women,ba_plus,lt_500_week,nonparent,1.943029874261974,Q4_high
35_44|women|ba_plus|500_999_week|nonparent,0.06936583085986874,0.029754576584165075,962579663.1906499,35_44,women,ba_plus,500_999_week,nonparent,-0.12713736885042834,Q3
65_plus|men|some_college|500_999_week|nonparent,0.06358825839013164,0.018284735405013842,282617334.902708,65_plus,men,some_college,500_999_week,nonparent,-0.43177645045166063,Q2
45_54|men|hs|1000_1499_week|nonparent,0.05960412721348856,0.012540199226437737,1236536378.281756,45_54,men,hs,1000_1499_week,nonparent,-0.6418511953361011,Q1_low
55_64|women|hs|500_999_week|parent,0.0702905033986062,0.03064501503020438,209269425.49587,55_64,women,hs,500_999_week,parent,-0.07838135679547653,Q3
25_34|men|ba_plus|1500plus_week|parent,0.059602335601863524,0.012668279650700623,1323523581.092681,25_34,men,ba_plus,1500plus_week,parent,-0.6419456631983211,Q1_low
55_64|women|ba_plus|lt_500_week|parent,0.07626592381290755,0.03761799672991233,149814978.998572,55_64,women,ba_plus,lt_500_week,parent,0.23668982521547866,Q3
45_54|women|hs|500_999_week|parent,0.07076126476560662,0.024676569505634755,580417306.6538931,45_54,women,hs,500_999_week,parent,-0.05355911332773208,Q3
65_plus|women|some_college|no_valid_earnings|parent,0.07893845325304392,0.04719153043590998,393005909.17845297,65_plus,women,some_college,no_valid_earnings,parent,0.377606606174948,Q4_high
35_44|women|ba_plus|1000_1499_week|parent,0.07072786261126808,0.02819487819474057,2081960983.49941,35_44,women,ba_plus,1000_1499_week,parent,-0.05532033773028114,Q3
65_plus|women|some_college|no_valid_earnings|nonparent,0.08015233694052931,0.04538423869485006,8164112323.667278,65_plus,women,some_college,no_valid_earnings,nonparent,0.4416121056582099,Q4_high
55_64|women|ba_plus|500_999_week|nonparent,0.07235671851470787,0.030537571040271924,1485522199.226888,55_64,women,ba_plus,500_999_week,nonparent,0.030565762199024377,Q3
35_44|women|some_college|1000_1499_week|parent,0.06826410729062685,0.024180753262793803,586257530.9460931,35_44,women,some_college,1000_1499_week,parent,-0.18522890436474676,Q3
65_plus|men|ba_plus|no_valid_earnings|parent,0.08262651533001797,0.05312010231451903,198004066.11329696,65_plus,men,ba_plus,no_valid_earnings,parent,0.5720702584965315,Q4_high
35_44|men|some_college|1500plus_week|nonparent,0.05912905724360158,0.013149331398160546,344323764.133035,35_44,men,some_college,1500plus_week,nonparent,-0.6669006222503913,Q1_low
25_34|men|ba_plus|no_valid_earnings|nonparent,0.10055361348596673,0.0874329447952797,1217546439.6635666,25_34,men,ba_plus,no_valid_earnings,nonparent,1.5173279331703882,Q4_high
55_64|women|hs|lt_500_week|parent,0.06802492336773279,0.02002184815012301,313646716.18185693,55_64,women,hs,lt_500_week,parent,-0.1978405628053619,Q3
55_64|men|lt_hs|lt_500_week|nonparent,0.06163512299002313,0.019795130731154076,221204596.78584403,55_64,men,lt_hs,lt_500_week,nonparent,-0.5347611170479738,Q2
15_24|men|hs|no_valid_earnings|nonparent,0.09488464572088551,0.08154285630877468,1284995999.121831,15_24,men,hs,no_valid_earnings,nonparent,1.2184153461578848,Q4_high
35_44|men|ba_plus|1500plus_week|parent,0.06319170551636026,0.018268471750478178,4496426947.988314,35_44,men,ba_plus,1500plus_week,parent,-0.4526858382446866,Q2
25_34|women|ba_plus|500_999_week|parent,0.06754787538298784,0.023848869533287534,1469975284.500928,25_34,women,ba_plus,500_999_week,parent,-0.2229942862270315,Q3
55_64|women|hs|no_valid_earnings|nonparent,0.074623663644251,0.036760378199215925,4361918158.0923195,55_64,women,hs,no_valid_earnings,nonparent,0.15009694695209633,Q3
55_64|men|ba_plus|no_valid_earnings|nonparent,0.07366948960631652,0.035946477649739184,2954269765.65754,55_64,men,ba_plus,no_valid_earnings,nonparent,0.09978538372607416,Q3
45_54|women|some_college|500_999_week|nonparent,0.06633779176312442,0.02300314234970671,1504425579.19775,45_54,women,some_college,500_999_week,nonparent,-0.28679941624432115,Q2
65_plus|men|some_college|no_valid_earnings|nonparent,0.07365382979413419,0.03606719881804764,6245068437.157953,65_plus,men,some_college,no_valid_earnings,nonparent,0.09895967520813538,Q3
35_44|women|hs|no_valid_earnings|parent,0.07947459926471864,0.04063224702519357,1910095613.643861,35_44,women,hs,no_valid_earnings,parent,0.40587644259089556,Q4_high
55_64|women|some_college|1000_1499_week|parent,0.07255099432165747,0.03177097126953411,89010525.83954701,55_64,women,some_college,1000_1499_week,parent,0.04080951140623372,Q3
65_plus|women|hs|lt_500_week|nonparent,0.07832567928594153,0.04026750660089135,1188872817.798718,65_plus,women,hs,lt_500_week,nonparent,0.34529634099956164,Q4_high
25_34|women|hs|no_valid_earnings|parent,0.07735511863744443,0.04177651262520434,2133720490.9946969,25_34,women,hs,no_valid_earnings,parent,0.2941207467261579,Q4_high
65_plus|women|ba_plus|1000_1499_week|nonparent,0.07058550507333254,0.028685425968616816,276495125.904879,65_plus,women,ba_plus,1000_1499_week,nonparent,-0.06282654727466244,Q3
45_54|women|ba_plus|1500plus_week|parent,0.07022801398697028,0.027158084367726713,1655376710.382802,45_54,women,ba_plus,1500plus_week,parent,-0.0816762902766716,Q3
35_44|women|ba_plus|1500plus_week|nonparent,0.06641600736868673,0.018162842408150106,1007412843.309201,35_44,women,ba_plus,1500plus_week,nonparent,-0.2826752740773131,Q2
35_44|women|ba_plus|1000_1499_week|nonparent,0.07538306490357466,0.03901020436964351,978102138.604164,35_44,women,ba_plus,1000_1499_week,nonparent,0.19013855671449262,Q3
25_34|men|some_college|no_valid_earnings|nonparent,0.11647543080631517,0.12372051993793326,908588703.419727,25_34,men,some_college,no_valid_earnings,nonparent,2.356851423580931,Q4_high
55_64|women|ba_plus|500_999_week|parent,0.06339509075075606,0.018983585419328482,113831943.386153,55_64,women,ba_plus,500_999_week,parent,-0.44196176834471945,Q2
55_64|men|some_college|1000_1499_week|parent,0.08808200581098419,0.061718589495187604,104822268.37494,55_64,men,some_college,1000_1499_week,parent,0.8597266433382852,Q4_high
45_54|women|some_college|1500plus_week|parent,0.07698893087610653,0.03371335229775091,159752721.584577,45_54,women,some_college,1500plus_week,parent,0.2748124465893938,Q3
55_64|women|ba_plus|no_valid_earnings|nonparent,0.08366062629842734,0.04856070043393167,3786327246.1611147,55_64,women,ba_plus,no_valid_earnings,nonparent,0.6265967256832472,Q4_high
25_34|women|ba_plus|500_999_week|nonparent,0.06853188272264864,0.02608865101580534,3397086820.888486,25_34,women,ba_plus,500_999_week,nonparent,-0.17110967658979792,Q3
35_44|men|some_college|500_999_week|nonparent,0.0647907124300673,0.023168812001523098,737386656.2475059,35_44,men,some_college,500_999_week,nonparent,-0.368373611921734,Q2
35_44|men|ba_plus|1500plus_week|nonparent,0.06579358982161386,0.022040159526073282,1771631462.0347462,35_44,men,ba_plus,1500plus_week,nonparent,-0.31549402466953197,Q2
25_34|men|some_college|1000_1499_week|nonparent,0.06316404652593008,0.019770288869231975,682071851.2443221,25_34,men,some_college,1000_1499_week,nonparent,-0.4541442378557349,Q2
25_34|men|hs|500_999_week|nonparent,0.06085937668799509,0.01661180475687016,1925517158.3791382,25_34,men,hs,500_999_week,nonparent,-0.5756645660731885,Q2
65_plus|men|hs|no_valid_earnings|nonparent,0.06747206579927191,0.025297534656767852,9138906776.418041,65_plus,men,hs,no_valid_earnings,nonparent,-0.22699156399044557,Q3
65_plus|men|hs|500_999_week|nonparent,0.07074305086796828,0.03060645847432324,451690694.142387,65_plus,men,hs,500_999_week,nonparent,-0.05451949332780775,Q3
35_44|men|some_college|1500plus_week|parent,0.06525420090024557,0.01829680459345926,906335147.8820931,35_44,men,some_college,1500plus_week,parent,-0.34393485280145364,Q2
35_44|men|lt_hs|no_valid_earnings|nonparent,0.05642232876246906,0.008426280401367706,372143044.527414,35_44,men,lt_hs,no_valid_earnings,nonparent,-0.8096206457473241,Q1_low
25_34|men|lt_hs|500_999_week|parent,0.06593494495730998,0.021035134762263305,537747555.5572989,25_34,men,lt_hs,500_999_week,parent,-0.30804066965864413,Q2
45_54|women|some_college|1500plus_week|nonparent,0.07140675155285793,0.022712031854261426,390163565.290609,45_54,women,some_college,1500plus_week,nonparent,-0.019523970872320152,Q3
55_64|men|some_college|500_999_week|parent,0.05975000562799427,0.011215586317125863,174478918.87803504,55_64,men,some_college,500_999_week,parent,-0.6341593374748209,Q1_low
15_24|men|some_college|no_valid_earnings|nonparent,0.151731222173763,0.188479107893164,1682894842.2336729,15_24,men,some_college,no_valid_earnings,nonparent,4.215814155690581,Q4_high
45_54|women|some_college|500_999_week|parent,0.0720648606041002,0.030244446880871297,812886081.314549,45_54,women,some_college,500_999_week,parent,0.015176716659345698,Q3
55_64|women|lt_hs|no_valid_earnings|nonparent,0.06151135989701322,0.016795511580840163,1445984609.716185,55_64,women,lt_hs,no_valid_earnings,nonparent,-0.5412868811449464,Q2
15_24|women|hs|lt_500_week|parent,0.08423154796305632,0.05881729823947322,1266310231.435337,15_24,women,hs,lt_500_week,parent,0.6567002081561781,Q4_high
65_plus|women|ba_plus|lt_500_week|nonparent,0.07786923311139714,0.03927156118815966,652023622.2757351,65_plus,women,ba_plus,lt_500_week,nonparent,0.3212289071176069,Q4_high
45_54|women|hs|no_valid_earnings|parent,0.07137293589055621,0.03102576280172053,958508008.7934101,45_54,women,hs,no_valid_earnings,parent,-0.02130699866838727,Q3
35_44|women|ba_plus|1500plus_week|parent,0.06656081099039346,0.020878335990275762,3156510212.776961,35_44,women,ba_plus,1500plus_week,parent,-0.27504008774943356,Q2
55_64|men|hs|500_999_week|nonparent,0.05849262496091816,0.010610111330360052,2205361755.212855,55_64,men,hs,500_999_week,nonparent,-0.7004583399793525,Q1_low
65_plus|women|lt_hs|no_valid_earnings|nonparent,0.06534638344549622,0.021696009592558272,3941802650.138649,65_plus,women,lt_hs,no_valid_earnings,nonparent,-0.3390742636748063,Q2
25_34|women|some_college|lt_500_week|parent,0.07217186835109023,0.031147785825499708,1159602932.208463,25_34,women,some_college,lt_500_week,parent,0.020819007074223635,Q3
55_64|women|some_college|lt_500_week|nonparent,0.0664231115988307,0.019536642704832213,898679214.353805,55_64,women,some_college,lt_500_week,nonparent,-0.282300683164282,Q2
55_64|women|hs|1500plus_week|parent,0.05404955547929477,0.0,19794001.873884,55_64,women,hs,1500plus_week,parent,-0.9347319234717296,Q1_low
45_54|women|hs|lt_500_week|nonparent,0.06060150536181038,0.009563389437687813,1202596760.938264,45_54,women,hs,lt_500_week,nonparent,-0.5892615714576622,Q2
35_44|women|ba_plus|no_valid_earnings|parent,0.08453925642126983,0.04967070440072184,2698891333.620609,35_44,women,ba_plus,no_valid_earnings,parent,0.6729250192861304,Q4_high
35_44|men|ba_plus|500_999_week|parent,0.06445207043840555,0.022237266353567882,938093073.6842451,35_44,men,ba_plus,500_999_week,parent,-0.38622948233648335,Q2
65_plus|men|some_college|1500plus_week|nonparent,0.061865394957805096,0.00829023730049596,186581712.25481704,65_plus,men,some_college,1500plus_week,nonparent,-0.5226193670048458,Q2
55_64|men|ba_plus|1000_1499_week|parent,0.06257966158483615,0.017755277810617195,242778051.466837,55_64,men,ba_plus,1000_1499_week,parent,-0.4849576102000799,Q2
15_24|men|some_college|500_999_week|parent,0.07468529871918307,0.03522909577678308,478116293.223632,15_24,men,some_college,500_999_week,parent,0.15334683307989108,Q3
25_34|men|ba_plus|1500plus_week|nonparent,0.06706684810709748,0.02729996077101728,3239374579.3177166,25_34,men,ba_plus,1500plus_week,nonparent,-0.2483578291890552,Q3
55_64|women|lt_hs|lt_500_week|nonparent,0.06609927711340999,0.023800263685444346,363323177.50573,55_64,women,lt_hs,lt_500_week,nonparent,-0.29937578533671094,Q2
65_plus|men|ba_plus|1500plus_week|nonparent,0.06329730501578185,0.01915582654529613,843743199.2782049,65_plus,men,ba_plus,1500plus_week,nonparent,-0.447117801722454,Q2
45_54|women|lt_hs|no_valid_earnings|parent,0.06582998618199812,0.018868338949485176,552134694.6451961,45_54,women,lt_hs,no_valid_earnings,parent,-0.31357492216425564,Q2
45_54|women|ba_plus|500_999_week|nonparent,0.07422630654989253,0.032808495253815316,1283621242.722594,45_54,women,ba_plus,500_999_week,nonparent,0.12914515432168558,Q3
35_44|women|some_college|lt_500_week|nonparent,0.06829494652070757,0.02670269138786408,393646165.799341,35_44,women,some_college,lt_500_week,nonparent,-0.18360281749551394,Q3
45_54|men|some_college|1500plus_week|parent,0.06602209453848049,0.022813614233566246,520944200.92022896,45_54,men,some_college,1500plus_week,parent,-0.30344545800032563,Q2
55_64|women|hs|500_999_week|nonparent,0.06195006510703179,0.015791504249736635,1879029109.9438748,55_64,women,hs,500_999_week,nonparent,-0.5181548905080874,Q2
25_34|men|lt_hs|lt_500_week|nonparent,0.05947391307151618,0.010164621540016641,196182080.97470897,25_34,men,lt_hs,lt_500_week,nonparent,-0.6487171094946411,Q1_low
35_44|women|lt_hs|lt_500_week|parent,0.06404842964363454,0.022063405293438355,634790669.4685851,35_44,women,lt_hs,lt_500_week,parent,-0.40751260109612175,Q2
15_24|women|some_college|no_valid_earnings|parent,0.14105592592274965,0.16410882453674683,1432579667.7285604,15_24,women,some_college,no_valid_earnings,parent,3.652928538458718,Q4_high
45_54|women|ba_plus|1000_1499_week|parent,0.0700943648693424,0.025097441688857566,1237888778.5822868,45_54,women,ba_plus,1000_1499_week,parent,-0.0887233233799751,Q3
25_34|women|ba_plus|1500plus_week|nonparent,0.07126086978519444,0.03358212709904308,1735227268.029925,25_34,women,ba_plus,1500plus_week,nonparent,-0.027216005538462883,Q3
25_34|women|ba_plus|1000_1499_week|nonparent,0.07093855301648616,0.03176120456865051,2176818370.02584,25_34,women,ba_plus,1000_1499_week,nonparent,-0.04421108174361442,Q3
45_54|women|ba_plus|lt_500_week|nonparent,0.07963094476498805,0.04546672016956186,499731510.250688,45_54,women,ba_plus,lt_500_week,nonparent,0.41412020757420626,Q4_high
55_64|men|ba_plus|1500plus_week|nonparent,0.06315006824839506,0.016768976488625124,3262983738.4066963,55_64,men,ba_plus,1500plus_week,nonparent,-0.45488128263586375,Q2
25_34|men|hs|500_999_week|parent,0.060407422173532635,0.014337872623850424,1967388839.171465,25_34,men,hs,500_999_week,parent,-0.5994951642928659,Q1_low
25_34|men|ba_plus|500_999_week|parent,0.060141065889495256,0.015118985247684801,648724251.4350381,25_34,men,ba_plus,500_999_week,parent,-0.6135395634194694,Q1_low
55_64|men|ba_plus|no_valid_earnings|parent,0.07778130359787513,0.03961546454938168,387446834.6242031,55_64,men,ba_plus,no_valid_earnings,parent,0.31659257128879725,Q4_high
35_44|men|ba_plus|500_999_week|nonparent,0.0643659187044031,0.022606202809028263,628096053.865012,35_44,men,ba_plus,500_999_week,nonparent,-0.3907720796405123,Q2
45_54|men|some_college|500_999_week|nonparent,0.060751187717037414,0.014757206348847616,882324688.093191,45_54,men,some_college,500_999_week,nonparent,-0.5813691399101358,Q2
55_64|men|hs|500_999_week|parent,0.058684432698019005,0.00776680899895707,390130769.66893405,55_64,men,hs,500_999_week,parent,-0.6903447268346484,Q1_low
25_34|men|some_college|lt_500_week|nonparent,0.08364805316804003,0.06131796436980027,882681551.196165,25_34,men,some_college,lt_500_week,nonparent,0.6259337713171866,Q4_high
15_24|men|some_college|lt_500_week|parent,0.10214036349967064,0.10061188082548436,1249398398.566654,15_24,men,some_college,lt_500_week,parent,1.6009938792814022,Q4_high
45_54|women|lt_hs|no_valid_earnings|nonparent,0.06687995761941673,0.026388430812787737,729270038.590031,45_54,women,lt_hs,no_valid_earnings,nonparent,-0.2582121662528119,Q3
25_34|women|hs|500_999_week|nonparent,0.05935836557850202,0.013299279093493979,625972023.5986761,25_34,women,hs,500_999_week,nonparent,-0.6548096825151505,Q1_low
45_54|women|ba_plus|1000_1499_week|nonparent,0.0712386817087798,0.03048945927575399,1481390222.21079,45_54,women,ba_plus,1000_1499_week,nonparent,-0.028385935514566314,Q3
25_34|men|ba_plus|1000_1499_week|nonparent,0.06343483983879243,0.020819263898175056,2549478960.191664,25_34,men,ba_plus,1000_1499_week,nonparent,-0.4398658836565887,Q2
15_24|men|some_college|lt_500_week|nonparent,0.09038317536038513,0.07112484979019348,2266802648.251055,15_24,men,some_college,lt_500_week,nonparent,0.9810624088021023,Q4_high
25_34|men|lt_hs|lt_500_week|parent,0.05949666797849388,0.008438750061775628,309466671.081561,25_34,men,lt_hs,lt_500_week,parent,-0.6475172917511306,Q1_low
55_64|women|ba_plus|1500plus_week|nonparent,0.06523198756568192,0.01946717664165207,2219532446.782121,55_64,women,ba_plus,1500plus_week,nonparent,-0.345106114585917,Q2
65_plus|women|ba_plus|1500plus_week|nonparent,0.07761593034901179,0.04109944130968008,352440311.20367694,65_plus,women,ba_plus,1500plus_week,nonparent,0.3078727923645126,Q4_high
65_plus|women|some_college|lt_500_week|nonparent,0.07317410037523794,0.03205048615760323,701891304.896905,65_plus,women,some_college,lt_500_week,nonparent,0.07366456547906668,Q3
25_34|men|hs|no_valid_earnings|parent,0.061117489598261694,0.012633830036848018,791314905.527991,25_34,men,hs,no_valid_earnings,parent,-0.5620548224750062,Q2
15_24|women|lt_hs|lt_500_week|parent,0.12665806230053336,0.1407540176893718,2002580396.332831,15_24,women,lt_hs,lt_500_week,parent,2.893759878287614,Q4_high
15_24|men|lt_hs|1000_1499_week|parent,0.05968960448452267,0.01969010536961828,52010301.728885,15_24,men,lt_hs,1000_1499_week,parent,-0.6373441610267943,Q1_low
55_64|men|hs|1000_1499_week|nonparent,0.058500957335712034,0.01258708852371787,1098107100.38978,55_64,men,hs,1000_1499_week,nonparent,-0.7000189916166863,Q1_low
45_54|men|ba_plus|no_valid_earnings|nonparent,0.08479157671363986,0.054276293459159984,1183529254.8523889,45_54,men,ba_plus,no_valid_earnings,nonparent,0.6862293304894234,Q4_high
45_54|men|some_college|500_999_week|parent,0.05737393844663489,0.008211680381417537,546137839.403322,45_54,men,some_college,500_999_week,parent,-0.759444295429678,Q1_low
35_44|women|some_college|1000_1499_week|nonparent,0.06160946819157052,0.012558345450931443,239367732.30462697,35_44,women,some_college,1000_1499_week,nonparent,-0.5361138398879222,Q2
55_64|women|some_college|no_valid_earnings|parent,0.07408615605772843,0.03559987330289049,340028668.84274507,55_64,women,some_college,no_valid_earnings,parent,0.12175531759657864,Q3
25_34|men|some_college|1500plus_week|parent,0.0683317095697097,0.026565862664746812,395486585.2385829,25_34,men,some_college,1500plus_week,parent,-0.18166438028100335,Q3
45_54|women|some_college|lt_500_week|parent,0.07132911050042515,0.02598813055653753,525447719.63950604,45_54,women,some_college,lt_500_week,parent,-0.02361781807745138,Q3
55_64|men|lt_hs|no_valid_earnings|parent,0.07433249610678808,0.04059579716945236,195683983.89141703,55_64,men,lt_hs,no_valid_earnings,parent,0.13474430331682993,Q3
45_54|men|ba_plus|1500plus_week|nonparent,0.06492332905859709,0.02196889590376144,2323934957.930932,45_54,men,ba_plus,1500plus_week,nonparent,-0.3613810197678524,Q2
55_64|men|ba_plus|500_999_week|nonparent,0.07890501672972076,0.04507734372008411,777832703.7689081,55_64,men,ba_plus,500_999_week,nonparent,0.3758435695690966,Q4_high
45_54|men|ba_plus|500_999_week|parent,0.07117073157322246,0.03404991351822254,501950798.365308,45_54,men,ba_plus,500_999_week,parent,-0.031968801328763424,Q3
35_44|men|ba_plus|no_valid_earnings|parent,0.07332396044964376,0.028732915431164283,896902485.9096379,35_44,men,ba_plus,no_valid_earnings,parent,0.08156636778008701,Q3
35_44|men|some_college|1000_1499_week|parent,0.0637606330512408,0.019100007837069975,891045738.599486,35_44,men,some_college,1000_1499_week,parent,-0.4226875019829612,Q2
45_54|men|ba_plus|no_valid_earnings|parent,0.07055174678307387,0.03190425766702225,872325452.523694,45_54,men,ba_plus,no_valid_earnings,parent,-0.06460654996518654,Q3
55_64|men|ba_plus|1500plus_week|parent,0.06442488624282733,0.020040207632862284,672503637.365601,55_64,men,ba_plus,1500plus_week,parent,-0.3876628470269991,Q2
